I,H,S,P
621 , 176 , 15493 , 3.3780306994592704
622 , 222 , 17617 , 3.841139019710449
623 , 243 , 17963 , 3.9165794522937376
624 , 209 , 13219 , 2.882216989359846
625 , 333 , 14172 , 3.0900052328623757
626 , 225 , 15149 , 3.303026338740625
627 , 199 , 15989 , 3.4861765218908083
628 , 195 , 12156 , 2.6504447933019364
629 , 250 , 14579 , 3.178745857317287
630 , 200 , 13253 , 2.8896302110587824
631 , 173 , 12109 , 2.6401971044828185
632 , 369 , 21642 , 4.718733647305074
633 , 325 , 17601 , 3.837650444793301
634 , 451 , 15132 , 3.2993197278911564
635 , 555 , 14979 , 3.265960230245943
636 , 408 , 18812 , 4.101691958834817
637 , 299 , 18164 , 3.960404674690388
638 , 290 , 18081 , 3.9423076923076916
639 , 290 , 22914 , 4.996075353218211
640 , 294 , 13988 , 3.049886621315193
641 , 341 , 13485 , 2.940214547357404
642 , 269 , 17396 , 3.7929530786673644
643 , 391 , 18527 , 4.039551718123147
644 , 377 , 13039 , 2.8429705215419503
645 , 377 , 14364 , 3.1318681318681323
646 , 377 , 15287 , 3.3331152974010134
647 , 275 , 14717 , 3.2088348159776725
