I,S,P
1121,42286,5.426708760042093
1122,25852,3.317676651009984
1123,33417,4.288519288519288
1124,40109,5.14732681399348
1125,29411,3.7744154410821067
1126,37320,4.78940478940479
1127,47251,6.063884397217731
1128,29125,3.737712071045405
1129,43901,5.6339673006339686
1130,43491,5.5813505813505815
1131,29387,3.771335438002105
1132,40851,5.2425502425502435
1133,40316,5.173891840558508
1134,34211,4.3904160570827235
1135,37334,4.791201457868125
1136,39245,5.03644670311337
1137,34076,4.373091039757705
1138,40324,5.174918508251841
1139,36389,4.669926336593003
1200,50088,6.4279664279664255
1201,57874,7.427170760504095
1202,40406,5.18544185210852
1203,41455,5.3200636533969865
1204,53595,6.878031878031878
1205,46963,6.026924360257693
1206,31884,4.091784091784092
1207,36245,4.651446318112986
1208,46677,5.99022099022099
1209,30594,3.9262339262339263
1210,48793,6.261774595107928
1211,57182,7.338364005030671
1212,35657,4.5759862426529105
1213,52020,6.675906675906675
1214,72062,9.247965914632582
1215,38876,4.9890916557583225
1216,54938,7.0503837170503845
1217,62380,8.005441338774673
1218,42831,5.496650496650498
1219,50364,6.4633864633864615
1220,54758,7.027283693950362
1221,40627,5.21380354713688
1222,51826,6.651009984343316
1223,52580,6.747773414440081
1224,54009,6.931161931161929
1225,43274,5.553502220168885
1226,47761,6.1293344626677975
1227,48313,6.2001745335078695
1228,41919,5.37961037961038
1229,45020,5.7775724442391105
1230,41369,5.3090269756936435
1231,43763,5.616257282923953
1232,44820,5.7519057519057535
1233,48888,6.2739662739662725
1234,42829,5.496393829727162
1235,46704,5.993685993685997
1236,54478,6.99135032468366
1237,52856,6.783193449860116
1238,54225,6.958881958881961
1239,53325,6.8433818433818425
1300,40490,5.196221862888528
1301,43155,5.5382305382305415
1302,49273,6.323374656707988
1303,44323,5.688124021457353
1304,46061,5.911167577834243
1305,42900,5.5055055055055035
1306,43428,5.573265573265574
1307,53877,6.914221914221916
1308,53333,6.844408511075177
1309,55056,7.065527065527067
1310,52222,6.701830035163367
1311,53976,6.926926926926927
1312,44294,5.684402351069018
1313,60138,7.7177177177177185
1314,37158,4.768614768614769
1315,46450,5.961089294422628
1316,54406,6.982110315443647
1317,59992,7.698981032314366
1318,65308,8.381201714535045
1319,49623,6.368291368291367
1320,60323,7.741459408126074
1321,50181,6.439901439901441
1322,55591,7.134185467518799
1323,66382,8.519031852365192
1324,47660,6.116372783039447
1325,52325,6.715048381715048
1326,55185,7.0820820820820805
1327,50310,6.456456456456456
1328,52278,6.7090167090167085
1329,59780,7.671774338441003
1330,44339,5.690177356844022
1331,50134,6.433869767203102
1332,58832,7.550114216780885
1333,62418,8.010318010318013
1334,72001,9.240137573470909
1335,66606,8.547778547778545
1336,55393,7.108775442108777
1337,56191,7.211185544518878
1338,47384,6.080952747619414
1339,48978,6.285516285516286
1400,53120,6.817073483740151
1401,52490,6.736223402890071
1402,38450,4.934421601088268
1403,39503,5.0695567362234035
1404,43373,5.5662072328739
1405,53331,6.8441518441518445
1406,45111,5.789250789250788
1407,49122,6.303996303996303
1408,46238,5.933882600549268
1409,59709,7.662662662662663
1411,43396,5.569158902492236
1412,58223,7.471959138625804
1413,47208,6.058366058366059
1414,55104,7.07168707168707
1415,65813,8.446010112676781
1416,53646,6.8845768845768855
1417,51117,6.560021560021559
1418,54532,6.998280331613668
1419,45568,5.847899181232513
1420,65621,8.421370088036754
1421,40899,5.248710248710248
1422,51265,6.579014912348247
1423,58708,7.534200867534201
1424,51714,6.636636636636638
1425,57843,7.423192423192423
1426,43115,5.5330971997638665
1427,42716,5.481892148558817
1428,53355,6.847231847231847
1429,52026,6.676676676676678
1430,34364,4.410051076717743
1431,39495,5.068530068530069
1432,50631,6.4976514976515
1433,40541,5.202766869433536
1434,57332,7.357614024280692
1435,51768,6.643566643566643
1436,50214,6.444136444136444
1437,61924,7.946921280254616
1438,40518,5.1998151998152
1439,52578,6.747516747516746
