I,H,S,P
464 , 218 , 27171 , 7.046932868569293
465 , 254 , 27334 , 7.0892077225524694
466 , 434 , 27839 , 7.220181963420582
467 , 450 , 28086 , 7.284242631726369
468 , 412 , 28563 , 7.407954934486945
469 , 424 , 28610 , 7.420144616310312
470 , 242 , 28353 , 7.353490398680401
471 , 237 , 28192 , 7.311734254562053
472 , 222 , 27979 , 7.256491653958274
473 , 422 , 27582 , 7.15352774579067
474 , 389 , 27213 , 7.057825775730603
475 , 251 , 26918 , 6.981316070669032
476 , 397 , 27316 , 7.08453933376905
477 , 176 , 28023 , 7.267903270984406
478 , 155 , 28435 , 7.374757503138195
479 , 276 , 28499 , 7.391356218812569
480 , 375 , 28342 , 7.350637494423868
481 , 177 , 27937 , 7.245598746796968
482 , 426 , 27741 , 7.194765180044195
483 , 392 , 27593 , 7.156380650047202
484 , 425 , 27432 , 7.114624505928854
485 , 432 , 27302 , 7.08090836471528
486 , 327 , 27721 , 7.189578081395952
487 , 180 , 27994 , 7.260381977944456
488 , 248 , 28359 , 7.3550465282748725
489 , 266 , 28473 , 7.384612990569853
490 , 256 , 28462 , 7.381760086313321
491 , 159 , 27971 , 7.254416814498979
492 , 192 , 27450 , 7.119292894712271
493 , 251 , 26905 , 6.977944456547675
494 , 251 , 26911 , 6.979500586142148
495 , 342 , 27067 , 7.019959955598435
496 , 335 , 27709 , 7.186465822207006
497 , 222 , 28029 , 7.2694594005788815
498 , 222 , 28091 , 7.285539406388433
499 , 421 , 28528 , 7.398877511852522
500 , 408 , 28611 , 7.420403971242726
501 , 439 , 27996 , 7.260900687809281
502 , 274 , 27491 , 7.129926446941171
503 , 218 , 27170 , 7.0466735136368825
504 , 218 , 27011 , 7.00543607938336
505 , 217 , 26757 , 6.939559926550682
506 , 434 , 26367 , 6.838411502909962
507 , 421 , 26340 , 6.831408919734836
508 , 391 , 26170 , 6.787318581224778
509 , 203 , 25988 , 6.740115983525773
510 , 121 , 25886 , 6.7136617804197405
511 , 456 , 25649 , 6.652194661438071
512 , 368 , 25639 , 6.649601112113951
513 , 449 , 25960 , 6.732854045418235
514 , 332 , 26496 , 6.871868289191123
515 , 418 , 26819 , 6.955639932360232
516 , 432 , 26960 , 6.992208977830341
517 , 442 , 26927 , 6.983650265060741
518 , 432 , 26885 , 6.9727573578994315
519 , 333 , 26819 , 6.955639932360233
520 , 216 , 27020 , 7.0077702737750664
521 , 218 , 27095 , 7.027221893705974
522 , 264 , 27219 , 7.059381905325076
523 , 208 , 27120 , 7.033705767016277
524 , 208 , 27014 , 7.006214144180594
525 , 208 , 26944 , 6.988059298911747
526 , 225 , 26823 , 6.956677352089882
527 , 431 , 26914 , 6.9802786509393835
528 , 432 , 26952 , 6.990134138371044
529 , 422 , 26755 , 6.939041216685857
530 , 414 , 26192 , 6.793024389737844
531 , 451 , 25942 , 6.728185656634816
532 , 261 , 25608 , 6.641561109209176
533 , 260 , 25884 , 6.713143070554915
534 , 255 , 26054 , 6.757233409064972
535 , 422 , 26330 , 6.828815370410714
536 , 429 , 26309 , 6.82336891683006
537 , 420 , 26492 , 6.870830869461476
538 , 416 , 26516 , 6.877055387839366
539 , 208 , 27156 , 7.043042544583114
540 , 264 , 27489 , 7.129407737076342
541 , 351 , 27676 , 7.177907109437406
542 , 448 , 27977 , 7.255972944093451
543 , 417 , 28346 , 7.351674914153518
544 , 411 , 28618 , 7.422219455769609
545 , 414 , 28755 , 7.457751081510068
546 , 415 , 28687 , 7.440114946106045
547 , 415 , 28623 , 7.423516230431671
548 , 242 , 28304 , 7.340782006992209
549 , 222 , 28092 , 7.285798761320843
550 , 268 , 27983 , 7.257529073687922
551 , 389 , 27698 , 7.183612917950474
552 , 392 , 27204 , 7.055491581338894
553 , 302 , 26953 , 6.990393493303457
554 , 268 , 26912 , 6.97975994107456
555 , 268 , 26894 , 6.975091552291141
556 , 370 , 27427 , 7.113327731266793
557 , 245 , 28118 , 7.292541989563559
558 , 276 , 28209 , 7.316143288413058
559 , 197 , 28463 , 7.382019441245733
560 , 227 , 28357 , 7.354527818410049
561 , 245 , 28021 , 7.267384561119583
562 , 419 , 27509 , 7.1345948357245845
563 , 443 , 27200 , 7.054454161609244
564 , 383 , 27729 , 7.191652920855248
565 , 257 , 28277 , 7.3337794238170835
566 , 327 , 28448 , 7.378129117259553
567 , 234 , 28332 , 7.348043945099749
568 , 455 , 28299 , 7.339485232330148
569 , 316 , 28059 , 7.277240048551244
570 , 373 , 27108 , 7.030593507827331
571 , 311 , 27027 , 7.00958575830195
572 , 254 , 27001 , 7.002842530059238
573 , 247 , 26957 , 6.991430913033104
574 , 239 , 26934 , 6.985465749587625
575 , 241 , 26922 , 6.982353490398681
576 , 352 , 27346 , 7.092319981741414
577 , 432 , 27435 , 7.11540257072609
578 , 271 , 27785 , 7.206176797070328
579 , 242 , 28149 , 7.300581992468332
580 , 242 , 28240 , 7.324183291317835
581 , 413 , 28771 , 7.461900760428663
582 , 420 , 28306 , 7.341300716857033
583 , 448 , 27974 , 7.255194879296215
584 , 352 , 27738 , 7.193987115246958
585 , 208 , 27076 , 7.022294149990145
586 , 426 , 26527 , 6.879908292095898
587 , 397 , 26195 , 6.79380245453508
588 , 252 , 26092 , 6.7670888964966345
589 , 406 , 25708 , 6.6674966024503854
590 , 436 , 25856 , 6.705881132447377
591 , 372 , 26240 , 6.805473426493626
592 , 300 , 26249 , 6.807807620885333
593 , 434 , 26825 , 6.957196061954706
594 , 443 , 26917 , 6.981056715736618
595 , 339 , 26838 , 6.960567676076064
596 , 253 , 27191 , 7.0521199672175365
597 , 208 , 27142 , 7.039411575529342
598 , 208 , 27017 , 7.00699220897783
599 , 209 , 26841 , 6.961345740873299
600 , 432 , 26905 , 6.977944456547675
